Account Owner,Account Owner ID,Account Name,Phone,Account Site,Fax,Parent Account,Parent Account ID,Account Number,Account Type,Industry,Annual Revenue,Created By,Created by ID,Modified By,Modified by ID,Created Time,Modified Time,Billing Street,Billing City,Billing State,Billing Code,Billing Country,Description,Last Activity Time,Layout,Layout ID,Tag,Water System No,Website URL,Principal Country Served
,,ALL SEASONS WD-SYSTEM IV,701-228-3663,,,,,,,,,,,,,,,,BOTTINEAU,ND,58318,,,,,,,,,
,,AGASSIZ WATER USERS DISTRICT,701-869-2690,,,,,,,,,,,,,,,PO BOX 185,GILBY,ND,58235,,,,,,,,,
,,AMENIA CITY OF,701-347-5572,,,,,,,,,,,,,,,,AMENIA,ND,58004,,,,,,,,,
,,ALL SEASONS WD-SYSTEM I,701-228-3663,,,,,,,,,,,,,,,,BOTTINEAU,ND,58318,,,,,,,,,
,,ALMONT CITY OF,701-843-7589,,,,,,,,,,,,,,,PO BOX 73,ALMONT,ND,58520,,,,,,,,,
,,ALL SEASONS WD-SYSTEM III,701-228-3663,,,,,,,,,,,,,,,,BOTTINEAU,ND,58318,,,,,,,,,
,,ALEXANDER CITY OF,701-828-3461,,,,,,,,,,,,,,,PO BOX 336,ALEXANDER,ND,58831,,,,,,,,,
,,ARGUSVILLE CITY OF,701-484-5095,,,,,,,,,,,,,,,,ARGUSVILLE,ND,58005,,,,,,,,,
,,APPLE VALLEY COOP,701-222-2098,,,,,,,,,,,,,,,1624 HAROLDSON LANE,MENOKEN,ND,58558,,,,,,,,,
,,ARNEGARD CITY OF,701-586-3453,,,,,,,,,,,,,,,PO BOX 488,ARNEGARD,ND,58835,,,,,,,,,
,,ANETA CITY OF,701-326-4505,,,,,,,,,,,,,,,PO BOX 195,ANETA,ND,58212,,,,,,,,,
,,ABERCROMBIE CITY OF,701-553-8515,,,,,,,,,,,,,,,PO BOX 73,ABERCROMBIE,ND,58001-0073,,,,,,,,,
,,ALL SEASONS WD-SYSTEM V,701-228-3663,,,,,,,,,,,,,,,,BOTTINEAU,ND,58318,,,,,,,,,
,,ARNEGARD DIAMOND ESTATES,701-223-4232,,,,,,,,,,,,,,,PO BOX 2599,BISMARCK,ND,58502,,,,,,,,,
,,ASHLEY CITY OF,701-288-3096,,,,,,,,,,,,,,,PO BOX 97,ASHLEY,ND,58413-0097,,,,,,,,,
,,ARVILLA WATER USERS ASSOCIATION,701-397-5810,,,,,,,,,,,,,,,PO BOX 1,ARVILLA,ND,58214,,,,,,,,,
,,BARNES RURAL WATER DISTRICT,701-845-1117,,,,,,,,,,,,,,,,VALLEY CITY,ND,58072-3323,,,,,,,,,
